ARCID;ATYP;ADEP;ADES;RM;ARF;ETD;TT;ETA;Flight Time;Adjusted Time;CAT;Seats;Airline;Coming From;TAS(kts);TAS(m/s);Distancia (km)
EJU32VL;A319;LEBL;LIRN;OELQU;360;11:37:00;20;13:25:00;1:48:00;1:13:00;D;144;EJU;ECAC;454.1;233.6;1023.17
TAP1031;A321;LEBL;LPPT;LYWSA;350;11:35:00;11;13:05:00;1:30:00;1:04:00;D;207;TAP;ECAC;447.8;230.4;884.74
KLM48J;B738;LEBL;EHAM;PHBXF;340;11:31:00;11;13:20:00;1:49:00;1:23:00;D;184;KLM;ECAC;441.6;227.2;1131.46
UAE256;B77L;MMMX;LEBL;A6EWG;390;0:55:00;10;11:35:00;10:40:00;10:15:00;B;240;UAE;Non-ECAC;472.7;243.2;8974.08
RYR12SD;B738;LEBL;LIME;EIENP;340;11:35:00;20;12:55:00;1:20:00;0:45:00;D;184;RYR;ECAC;441.6;227.2;613.44
DLH55Y;A320;LEBL;EDDM;DAIUE;380;11:40:00;10;13:20:00;1:40:00;1:15:00;D;173;DLH;ECAC;466.5;240;1080
ANE70RM;CRJX;LEBZ;LEBL;ECMLN;340;10:35:00;5;11:40:00;1:05:00;0:45:00;E;100;ANE;ECAC;441.6;227.2;613.44
LOT3TD;B738;LEBL;EPWA;SPLWD;390;11:35:00;10;14:15:00;2:40:00;2:15:00;D;184;LOT;ECAC;472.7;243.2;1969.92
RYR603R;B738;LEBL;LIRN;EIEMA;360;11:45:00;20;13:30:00;1:45:00;1:10:00;D;184;RYR;ECAC;454.1;233.6;981.12
TAM8115;B789;LEBL;SBGR;CCBGM;380;11:46:00;26;21:35:00;9:49:00;9:08:00;B;284;TAM;ECAC;466.5;240;7891.2
